Date;Closing;Volume
20042017;12047,67;824411776
19042017;12016,45;2923603456
18042017;12000,44;3319585280
13042017;12109;2756005888
12042017;12154,70;2868117760
11042017;12139,35;3128939264
10042017;12200,52;2085668096
07042017;12225,06;2747761920
06042017;12230,89;2800039680
05042017;12217,54;3087911168
04042017;12282,34;3661636608
03042017;12257,20;3161620224
31032017;12312,87;3991888640
30032017;12256,43;2926485248
29032017;12203;3387489536
28032017;12149,42;3204567552
27032017;11996,07;3037007360
24032017;12064,27;3150825216
23032017;12039,68;3014812416
22032017;11904,12;3632624384
21032017;11962,13;4164479232
20032017;12052,90;3016690432
17032017;12095,24;6839700480
16032017;12083,18;4289922304
15032017;12009,87;3230866944
14032017;11988,79;3455290624
13032017;11990,03;2785074432
10032017;11963,18;3578962944
09032017;11978,39;3781508864
08032017;11967,31;3586542336
07032017;11966,14;2710289664
06032017;11958,40;2979907840
03032017;12027,36;3248293120
02032017;12059,57;2877343488
01032017;12067,19;3904585472
28022017;11834,41;2882963456
27022017;11822,67;2441525504
24022017;11804,03;3961140224
23022017;11947,83;2880619264
22022017;11998,59;3820116736
21022017;11967,49;3242747904
20022017;11827,62;2027491584
17022017;11757,02;3721179136
16022017;11757,24;2769516800
15022017;11793,93;2945084160
14022017;11771,81;2499493632
13022017;11774,43;2599375872
10022017;11666,97;2758938368
09022017;11642,86;3498646272
08022017;11543,38;3444828416
07022017;11549,44;2854480896
06022017;11509,84;3605544960
03022017;11651,49;3025522688
02022017;11627,95;3666137344
01022017;11659,50;3874852864
31012017;11535,31;3955432448
30012017;11681,89;2920500480
27012017;11814,27;2860830208
26012017;11848,63;3425865984
25012017;11806,05;4289231616
24012017;11594,94;3009022464
23012017;11545,75;3007730688
20012017;11630,13;4065630464
19012017;11596,89;3037434624
18012017;11599,39;2718115072
17012017;11540;2996372224
16012017;11554,71;2150898688
13012017;11629,18;2948283392
12012017;11521,04;3546258432
11012017;11646,17;3500303360
10012017;11583,30;3187543296
09012017;11563,99;3245823488
06012017;11599,01;2471523072
05012017;11584,94;2888647680
04012017;11584,31;2927054336
03012017;11584,24;3353522432
02012017;11598,33;1758606720
30122016;11481,06;1696761472
29122016;11451,05;1569502592
28122016;11474,99;1625874944
27122016;11472,24;1068404352
23122016;11449,93;1741272064
22122016;11456,10;2054211712
21122016;11468,64;2512891392
20122016;11464,74;3202507264
19122016;11426,70;2816858624
16122016;11404,01;7778210304
